회사명,나노신소재,대성파인텍,대주전자재료,신성이엔지보통주,아바코,알에스오토메이션,주성엔지니어링,주식회사케이씨씨,코미코,한화솔루션보통주
거래소코드,121600,104040,078600,011930,083930,140670,036930,002380,183300,009830
항목,종가(원),종가(원),종가(원),종가(원),종가(원),종가(원),종가(원),종가(원),종가(원),종가(원)
년도,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
2020/05/04,12450,1155,19300,886,6400,7120,5260,159500,24100,13800
2020/05/06,12900,1215,20400,910,6390,7600,5400,157500,25400,14000
2020/05/07,13200,1225,21100,905,6630,7630,5580,157500,26400,14300
2020/05/08,13200,1225,21300,906,6640,7840,5790,157500,26050,14300
2020/05/11,12950,1230,21250,943,6580,7830,5640,153000,27500,14950
2020/05/12,12600,1255,21400,912,6350,7600,5480,148000,27950,15550
2020/05/13,13050,1260,22150,917,6590,7600,5490,147000,27450,15450
2020/05/14,12800,1245,21350,918,6670,7460,5370,144000,26350,15650
2020/05/15,13550,1260,21650,903,6650,7380,5340,143000,29150,15200
2020/05/18,14100,1260,23050,903,7210,7330,5260,143000,31900,14850
2020/05/19,14300,1270,24550,902,7210,7630,5600,149000,32500,15750
2020/05/20,15450,1310,24950,907,7320,8030,5690,150000,33000,15750
2020/05/21,15450,1395,27200,960,8090,8840,5900,157500,33100,16500
2020/05/22,15400,1355,28550,926,8140,8720,5760,152000,34350,15950
2020/05/25,15850,1380,29650,971,8350,8730,5830,150500,37100,16100
2020/05/26,17200,1420,33200,973,8360,9200,5840,154500,35550,17000
2020/05/27,16900,1500,33300,1215,8090,9120,5790,154000,33650,16750
2020/05/28,15900,1425,31150,1150,8300,8520,5650,152500,32500,16300
2020/05/29,16700,1525,30100,1225,8210,8430,5400,143500,32400,16150
2020/06/01,16800,1660,30800,1375,8170,9030,5640,144000,34800,16800
2020/06/02,16400,1605,30700,1400,8260,8940,5770,147500,34300,17000
2020/06/03,15950,1540,29000,1370,7950,8860,5820,154500,33350,17250
2020/06/04,16750,1555,31000,1450,8030,8770,5850,152500,34050,17000
2020/06/05,16500,1550,30750,1410,7990,8780,5960,156000,34550,16900
2020/06/08,16700,1550,30000,1380,7770,8900,5950,156500,34400,17200
2020/06/09,17000,1565,29800,1360,7840,8840,5870,156500,33700,18350
2020/06/10,16750,1520,30000,1375,7950,8830,5860,153500,33800,18350
2020/06/11,16350,1475,31050,1280,7560,8720,5660,146500,33650,18050
2020/06/12,16250,1405,31400,1280,7700,8400,5500,141000,32650,18500
2020/06/15,15200,1250,28300,1115,7020,7840,5050,134500,30300,17250
2020/06/16,18450,1350,30050,1205,7490,7900,5320,141500,31350,19000
2020/06/17,19750,1290,31700,1150,7390,7780,5320,144500,31350,18450
2020/06/18,20100,1335,31850,1155,7450,7650,5300,145000,33100,18350
2020/06/19,20600,1340,36550,1220,7260,7780,5350,143500,33050,18550
2020/06/22,21000,1360,36700,1380,7270,7770,5340,139500,35800,18700
2020/06/23,21550,1325,37450,1345,7240,8000,5410,140500,35750,19500
2020/06/24,21700,1330,38600,1425,7270,8000,5540,141000,37000,19450
2020/06/25,21150,1280,37250,1335,7060,7730,5420,136000,38350,18950
2020/06/26,20400,1380,35250,1330,6960,7740,5690,136500,37500,19750
2020/06/29,19600,1315,33850,1290,7200,7270,5520,133000,36600,19050
2020/06/30,19400,1335,34450,1325,7050,7370,5600,133000,35950,19250
2020/07/01,19800,1295,34800,1315,7250,7470,6820,133500,35400,18850
2020/07/02,19650,1315,35600,1300,7460,7640,6640,133500,36150,18950
2020/07/03,20800,1320,35800,1300,7400,7660,7030,134500,36400,18850
2020/07/06,21350,1385,37200,1310,7900,7710,7200,136000,36600,19450
2020/07/07,22000,1345,36750,1315,8000,7680,7290,135500,35250,19600
2020/07/08,28600,1400,37500,1305,8030,7710,7130,134500,35650,20000
2020/07/09,27850,1480,37200,1400,8100,7910,7200,137000,36200,22450
2020/07/10,26550,1455,36500,1375,7970,7790,7830,133000,37000,22600
2020/07/13,27300,1530,36600,1465,8100,7860,7890,136500,37500,24300
2020/07/14,25900,1405,35850,1335,7780,7980,7550,136000,37450,22800
2020/07/15,25500,1405,35650,1305,7790,8000,8030,140000,39400,24000
2020/07/16,26150,1410,35750,1305,8120,7940,7760,144500,37450,23700
2020/07/17,25550,1410,35550,1315,8070,7990,7720,141000,37450,23900
2020/07/20,26700,1395,35950,1335,7990,8020,7690,139000,36200,25550
2020/07/21,26600,1485,35700,1415,8000,8010,7700,142000,37200,27100
2020/07/22,27950,1490,37600,1520,8100,8290,7700,142500,37100,26400
2020/07/23,30050,1440,42250,1435,8550,8150,7530,138000,38500,26250
2020/07/24,29050,1415,40800,1420,8300,8000,7400,136500,38350,25950
2020/07/27,28200,1435,41700,1410,7500,7900,7320,135000,42400,26600
2020/07/28,28200,1415,41500,1415,7460,7820,7180,134500,42150,25550
2020/07/29,29400,1410,40850,1430,7300,7740,7300,139500,41050,25700
2020/07/30,29750,1365,41500,1390,7280,7860,7350,136500,41050,26100
2020/07/31,30450,1360,42400,1375,7200,8140,6990,134500,39500,25500
2020/08/03,32950,1335,44950,1430,7400,8450,7150,135000,40350,25850
2020/08/04,33950,1350,44950,1455,7390,8450,7150,136500,39450,27200
2020/08/05,36100,1335,46600,1405,7420,8510,7200,135500,40250,28900
2020/08/06,39050,1340,46850,1415,7320,8470,7250,137000,40050,28950
2020/08/07,41400,1340,47850,1355,7510,8250,7700,136000,38350,30050
2020/08/10,48500,1355,53000,1365,7760,8600,7890,142500,37150,31100
2020/08/11,48650,1360,51400,1340,7650,8440,7850,151500,37450,32050
2020/08/12,44800,1335,48250,1285,7410,8290,7500,157500,36250,32350
2020/08/13,43050,1355,47600,1295,7650,8330,7490,159500,36100,32300
2020/08/14,43550,1315,46300,1245,7820,8220,7250,162000,36100,31100
2020/08/18,40500,1220,44250,1190,7560,7710,6690,147000,35750,31800
2020/08/19,43750,1240,47000,1115,7690,7670,6760,146500,37550,32150
2020/08/20,41750,1155,44150,1160,6980,7210,6220,138000,36750,30400
2020/08/21,43750,1180,46750,1375,7260,7300,6270,139000,36700,30900
2020/08/24,44000,1190,48700,1390,7420,7280,6630,140000,36100,31700
2020/08/25,45400,1250,51500,1445,7670,7470,6820,145000,36800,35350
2020/08/26,45800,1250,52000,1615,7520,7360,6690,142000,37200,34800
2020/08/27,46300,1210,51600,1650,7290,7020,6460,140000,36750,35850
2020/08/28,45400,1210,51300,1515,7360,7120,6500,139500,38150,37650
2020/08/31,43800,1245,50100,1550,7810,7190,6540,139500,38650,39950
2020/09/01,43200,1225,50100,1535,7800,7280,6640,141500,38800,38900
2020/09/02,42850,1270,50500,1490,7840,7430,6730,144000,39350,39550
2020/09/03,43200,1300,50300,1555,7790,7500,7140,146500,39500,45700
2020/09/04,41050,1395,48800,2020,7530,7440,7050,142000,38800,48500
2020/09/07,40050,1435,47050,2395,8230,8220,7650,151000,39700,49050
2020/09/08,38900,1430,46450,2285,8180,8110,7660,147500,38650,46150
2020/09/09,38350,1540,45450,2365,8100,8040,7500,147000,40350,48650
2020/09/10,38900,1545,46000,2470,8040,8380,7320,148500,41600,49250
2020/09/11,37600,1485,45550,2390,7840,8280,7240,149500,42500,46350
2020/09/14,40250,1495,49500,2295,8300,8490,7300,152000,41850,44700
2020/09/15,40600,1515,49500,2215,8110,8500,7170,149000,42200,43150
2020/09/16,39100,1965,48200,2340,8040,8450,7100,147500,40700,42400
2020/09/17,39000,1875,47550,2255,7840,8450,7310,158000,39650,42500
2020/09/18,40700,1860,51000,2265,8950,8440,7230,155500,39700,42550
2020/09/21,38600,1860,48900,2285,9580,8190,7080,150500,38350,39400
2020/09/22,36800,1720,48200,2110,9810,7840,6880,145000,36400,38300
2020/09/23,34000,1780,46050,2205,9270,7910,6890,146500,37450,37050
2020/09/24,31600,1600,40600,2160,8280,7500,6670,142500,36400,37100
2020/09/25,31950,1545,40450,2025,8050,7400,6680,139500,36100,35150
2020/09/28,33550,1610,42700,2065,8160,7640,6910,144000,37200,38250
2020/09/29,34400,1590,44600,2055,8650,7910,6960,146000,38100,38450
2020/10/05,33700,1735,44250,2365,8800,8180,7090,153500,38300,42150
2020/10/06,33850,1750,44350,2310,9280,8150,7020,152000,38150,42300
2020/10/07,34600,1755,43700,2505,9030,8180,7170,155000,38100,44600
2020/10/08,35100,1860,45950,3255,9590,8230,7130,154500,38500,48850
2020/10/12,33950,1825,46150,3285,9520,9010,7270,156000,38400,49100
2020/10/13,32350,1835,44250,3410,10750,8870,7240,158000,38450,47450
2020/10/14,32000,2150,42350,3440,10700,8840,7050,157500,37650,46250
2020/10/15,32050,2100,40950,3285,9980,8610,6900,156500,37300,46400
2020/10/16,30700,1950,40950,3135,9490,8410,6990,157000,36550,44450
2020/10/19,30250,1830,38700,2985,9100,8410,7370,161500,35700,43200
2020/10/20,30950,1765,38750,3055,9480,8360,7380,157500,35900,43200
2020/10/21,30700,1775,38000,3065,9640,8430,7200,157500,36500,47500
2020/10/22,29100,1670,36000,2950,9140,8220,7450,156000,36150,44650
2020/10/23,29200,1695,37800,3055,9040,8260,7450,156500,34850,44500
2020/10/26,27500,1910,34100,2890,8700,7900,7150,162000,33050,42100
2020/10/27,28000,2480,34750,2715,8800,7910,7470,162000,33300,44150
2020/10/28,29300,2480,37300,3050,9070,8320,7480,160000,36650,46000
2020/10/29,29250,2505,37500,3140,9060,8160,7340,156000,37750,45650
2020/10/30,27750,2165,36400,2990,9070,8120,6950,153000,36650,43700
2020/11/02,28150,2180,37300,3065,9080,8010,7080,158500,36850,46750
2020/11/03,31650,2140,40500,3090,9130,8300,7090,161000,36800,46850
2020/11/04,30550,2000,40900,2825,9050,8300,6980,160500,37850,42700
2020/11/05,33350,2130,42350,3055,9420,8330,7110,162500,38050,47950
2020/11/06,33400,2210,43950,3125,9250,8270,7100,161500,37600,47900
2020/11/09,34500,2550,45050,4055,9720,8750,7300,163000,37900,52200
2020/11/10,33750,2360,44400,4090,10100,9090,7290,168000,37800,51800
2020/11/11,32100,2260,44000,3765,9970,8850,7240,171500,37200,49150
2020/11/12,32550,2275,43250,3805,9820,8690,7430,169000,37750,49350
2020/11/13,32500,2200,43550,3740,9840,8470,7410,163500,37850,49200
2020/11/16,32050,2225,42350,3775,9960,8380,7610,168500,40750,48400
2020/11/17,31850,2155,42500,3740,10050,8300,7320,166500,41650,48500
2020/11/18,31950,2280,43150,3790,9950,8500,7330,169500,43400,49700
2020/11/19,32250,2215,43000,3835,9900,8690,7300,166500,44500,49400
2020/11/20,31950,2190,43300,3810,9840,8590,7350,167500,43250,48800
2020/11/23,31850,2165,43000,3770,9730,8420,7500,171000,42750,48650
2020/11/24,33100,2230,45950,3825,10000,8780,7430,171500,43400,49400
2020/11/25,32650,2155,45200,3740,9760,8500,7450,168500,43100,48900
2020/11/26,33450,2210,45600,3840,9860,8400,7650,168500,43800,49750
2020/11/27,35800,2195,46900,3860,9730,8460,7640,170000,43400,49350
2020/11/30,35250,2135,47600,4045,9580,8490,7790,168000,43150,47750
2020/12/01,35850,2125,47800,3945,9490,8350,7810,169500,43300,47350
2020/12/02,36150,2140,47000,3900,9780,8410,8730,172000,44400,47100
2020/12/03,35500,2070,45700,3860,9630,8300,8580,172000,45400,46500
2020/12/04,34750,2010,45350,3810,9500,8200,8640,171500,45950,45100
2020/12/07,35050,2010,45400,3860,9470,8100,8630,169000,46000,46700
2020/12/08,34550,1990,45350,3810,9450,8080,8860,167000,46250,47150
2020/12/09,35150,2020,46000,3855,9590,8170,8600,171000,46250,46800
2020/12/10,35900,2040,45700,3830,9600,8150,8580,171000,45350,46200
2020/12/11,36450,2040,46700,3850,9680,8410,8320,177000,44950,46300
2020/12/14,35900,2000,45700,3965,9530,8580,8260,183500,44950,45900
2020/12/15,35300,1995,45700,3915,9670,8550,8190,185000,45550,45350
2020/12/16,36500,2020,46700,3930,10000,8590,8480,191000,46000,48400
2020/12/17,37700,1985,48600,3885,9930,8510,8620,192000,47000,47550
2020/12/18,38500,1980,47650,3800,9770,8500,8490,193000,47000,46200
2020/12/21,39500,1930,47150,3715,10000,8600,8300,189000,46650,46150
2020/12/22,37350,1845,45100,3420,9840,8350,7910,184500,44850,45600
2020/12/23,37050,2260,45050,3370,10250,8880,8060,189000,45250,46400
2020/12/24,37400,1980,45500,3305,10250,8650,8020,199500,45800,45650
2020/12/28,37100,2040,45950,3240,10700,8380,8300,194000,47150,45050
2020/12/29,37400,2040,46400,3285,10700,8550,8380,193500,48450,47500
2020/12/30,37850,2160,46450,3440,10650,8940,8210,197500,49950,47900
2021/01/04,39300,2365,47650,3475,10500,9150,8180,199000,50600,49200
2021/01/05,39000,2325,47000,3540,10200,8970,8080,204500,49550,53900
2021/01/06,38000,2290,45750,3485,10400,9050,7930,202500,48700,53200
2021/01/07,38100,2975,46500,3555,10600,9100,8110,205500,48400,55400
2021/01/08,38800,2970,47850,3570,10750,9470,8150,210500,48900,56700
2021/01/11,40000,2820,53100,3565,11400,9000,7940,205000,47450,56800
2021/01/12,39000,2890,49250,3515,11150,8930,8160,202000,47250,53700
2021/01/13,38650,2705,49500,3525,10950,9020,8560,199500,46150,55000
2021/01/14,38350,2720,50700,3505,12050,8990,9210,205000,46700,55500
2021/01/15,37050,2775,49000,3400,12150,8800,9400,202500,49000,55400
2021/01/18,35150,2825,47500,3310,13850,8600,9600,196500,46650,51900
2021/01/19,37000,2960,48850,3570,16600,8930,10250,201000,47450,55200
2021/01/20,37050,3010,50300,3520,17050,9470,10300,206000,48650,57200
2021/01/21,36900,2815,50000,3415,17000,9570,10550,209000,52900,56700
2021/01/22,37100,2800,49350,3390,17050,9950,10300,215000,57700,56700
2021/01/25,36650,2800,49700,3345,17800,10900,10600,221000,61800,55900
2021/01/26,36900,2775,49300,3365,16350,10750,10150,218500,59300,54600
2021/01/27,35950,2590,48350,3345,16350,10850,10450,211500,57700,54200
2021/01/28,34350,2470,46500,3230,16100,10300,9920,206000,54900,51500
2021/01/29,32400,2335,44300,3010,14700,9690,9480,198500,54000,49800
2021/02/01,33100,2380,45850,3100,15500,9740,10200,200500,58100,51500
2021/02/02,33350,2425,46350,3065,15650,10300,10250,203500,57800,52100
2021/02/03,33400,2520,46350,3065,15650,10200,10300,206000,57500,51900
2021/02/04,32500,2480,45800,3010,15750,10200,10950,202500,58300,50600
2021/02/05,32300,2455,45450,3160,16050,10000,11050,202000,59100,54200
2021/02/08,33500,2390,45500,3175,15100,9600,10500,207000,59400,54100
2021/02/09,33050,2390,45300,3110,14700,9330,10700,205000,60000,53300
2021/02/10,34200,2385,46000,3065,14500,9610,11000,212500,60200,53400
2021/02/15,34800,2530,46200,3065,15100,9650,11750,216000,61800,52500
2021/02/16,35550,2550,46200,3165,14600,9990,11700,215000,65300,52900
2021/02/17,35100,2585,45550,3215,14900,10450,11600,210000,65800,51700
2021/02/18,33800,2610,44900,3340,15000,10550,11500,208500,62600,51300
2021/02/19,33550,2515,45300,3240,14850,10350,11200,209000,62700,50400
2021/02/22,32400,2655,43700,3225,14400,10000,10900,209000,59800,48600
2021/02/23,30850,2560,42500,3130,14400,10650,10650,207000,57100,46950
2021/02/24,28950,2335,40050,3035,13450,9900,10050,199000,57400,45200
2021/02/25,29700,2360,40950,3160,13900,10300,10600,204000,60000,47150
2021/02/26,28600,2270,39400,3070,13400,9790,10150,199500,58000,45050
2021/03/02,28600,2450,40250,3300,13850,9900,10150,201000,58000,45250
2021/03/03,28450,2575,40250,3225,13950,9940,10300,203000,57600,46150
2021/03/04,27400,2645,39150,3130,13400,9670,10300,203000,56800,44700
2021/03/05,27000,2515,38250,3120,13250,9530,10150,201000,55000,43950
2021/03/08,25450,2640,36100,3045,12800,9290,9840,201500,54000,42750
2021/03/09,24750,2525,35200,2970,12600,8930,9840,200000,53200,41600
2021/03/10,24800,2430,35550,3005,12450,8730,9560,198500,53300,41000
2021/03/11,25650,2435,37200,3030,12900,8860,9880,200000,58500,42000
2021/03/12,26650,2770,38100,3095,13100,9050,10200,204000,60200,44100
2021/03/15,26500,2750,38050,3220,13200,9040,10000,207000,59500,44250
2021/03/16,29800,2890,40450,3225,13150,9040,10150,207000,61200,45050
2021/03/17,29400,2725,42050,3335,13000,8860,10150,204000,62100,45100
2021/03/18,30150,2740,42900,3445,13100,8790,10700,204500,62100,45500
2021/03/19,31000,2700,43050,3425,12950,8770,10700,201500,64300,44300
2021/03/22,30200,2655,41200,3310,13600,8770,10750,203000,64900,43250
2021/03/23,29300,2725,41600,3230,13050,8660,10550,206000,65600,43650
2021/03/24,29150,2770,41950,3255,12850,8610,10950,204500,69900,45000
2021/03/25,28950,2690,42150,3220,12900,8640,11250,222500,66700,48000
2021/03/26,28700,2735,41700,3155,12700,8580,11300,229500,63900,47700
2021/03/29,28350,2780,40800,3185,12650,8470,11400,233500,65000,48700
2021/03/30,28750,2785,41050,3190,12600,8500,11250,227000,65200,48650
2021/03/31,28200,2755,41450,3290,12700,8500,11200,237500,64200,50100
2021/04/01,28600,2860,41800,3320,12800,8770,11650,235000,67800,49900
2021/04/02,28700,2840,41800,3310,13000,8770,11450,229000,68300,48750
2021/04/05,28300,2950,42300,3405,13050,9020,11500,232500,70400,48150
2021/04/06,27700,2940,42400,3410,12950,9000,11450,250000,68200,47150
2021/04/07,27600,2915,42600,3520,13250,9060,11450,261000,66700,47600
2021/04/08,27450,2830,43050,3440,13150,9470,11350,273500,66800,48550
2021/04/09,27600,2800,43200,3410,12900,9400,11400,272000,67200,48150
2021/04/12,28450,2820,43050,3400,12850,9280,11850,280500,67400,48450
2021/04/13,29000,2835,43550,3360,12950,9650,11950,274500,66000,48350
2021/04/14,29350,2865,43800,3435,14000,9690,12950,276000,65000,50400
2021/04/15,29350,3060,46150,3375,13950,9670,13250,272500,65800,49550
2021/04/16,29350,2935,47750,3365,13550,9630,13150,272000,68400,50600
2021/04/19,29300,3115,48000,3370,14050,9530,14650,282000,74300,50900
2021/04/20,29250,3055,47950,3375,14000,9600,14700,286000,72200,50500
2021/04/21,28750,3170,48100,3320,13550,9310,14700,293000,69000,49350
2021/04/22,29450,3295,48550,3425,13650,9420,14550,316500,69500,50400
2021/04/23,29450,3050,48150,3350,13700,9330,14450,325000,69100,49700
2021/04/26,32200,3025,52800,3380,14200,9600,14200,325500,70500,49700
2021/04/27,32200,2985,53000,3305,13100,10500,14800,319000,70500,48550
2021/04/28,32400,2810,50500,3205,12550,9960,13700,315000,65900,46900
2021/04/29,31150,2805,49300,3175,13500,9800,14000,325000,65000,46750
2021/04/30,30100,2805,50500,3170,12850,9420,13350,313000,64400,46050
2021/05/03,29600,2770,49050,3130,12550,9420,13150,297500,63000,45400
2021/05/04,29800,2700,48200,3065,12300,9340,13800,304000,63800,45350
2021/05/06,29750,2760,47150,3115,12650,9490,13300,322000,62200,46100
2021/05/07,30600,2810,49750,3125,12700,9340,13250,317500,61400,46800
2021/05/10,30100,2815,48350,3125,12750,9460,13350,341000,66000,47250
2021/05/11,29100,2795,45800,3060,12300,9240,12900,368500,64300,45800
2021/05/12,28300,2745,45000,3010,12200,9260,13050,353500,63700,44700
2021/05/13,27450,2670,43450,2960,11750,9050,12650,335500,62000,43900
2021/05/14,28100,2690,45950,2930,12000,9000,13650,340500,68200,44050
2021/05/17,28200,2680,44200,2865,11900,9280,13700,331000,65600,44650
2021/05/18,28200,2655,44300,2775,11900,9120,14150,335000,68500,44250
